name,year,selling_price,km_driven,fuel,seller_type,transmission,owner
Audi Q7 35 TDI Quattro Premium,2009,62500,78000,Diesel,Dealer,Automatic,Third Owner
Hyundai Elantra CRDi S,2012,31250,40000,Diesel,Individual,Manual,First Owner
Mahindra Scorpio 1.99 S10,2014,52500,50000,Diesel,Individual,Manual,First Owner
Honda City i DTEC V,2014,28000,74000,Diesel,Individual,Manual,Second Owner
Maruti Wagon R VXI BS IV with ABS,2014,14500,64000,Petrol,Individual,Manual,Second Owner
Maruti Wagon R VXI BS IV,2012,13750,60000,Petrol,Individual,Manual,Second Owner
Mahindra Scorpio LX,2009,20550,120000,Diesel,Individual,Manual,Second Owner
Hyundai Santro Xing GLS,2009,7500,79000,Petrol,Individual,Manual,Third Owner
Hyundai Grand i10 1.2 Kappa Asta,2019,25000,15000,Petrol,Individual,Manual,First Owner
Maruti Alto LXi,2006,5000,80000,Petrol,Individual,Manual,First Owner
Maruti Swift Dzire VDI Optional,2017,36250,18500,Diesel,Dealer,Manual,First Owner
Maruti Eeco 5 Seater AC BSIV,2018,20050,10200,Petrol,Dealer,Manual,First Owner
Hyundai i20 Sportz 1.4 CRDi,2018,37500,29000,Diesel,Dealer,Manual,First Owner
Maruti Omni Maruti Omni MPI STD BSIII 5-STR W/ IMMOBILISER,2018,15500,28000,Petrol,Dealer,Manual,First Owner
Maruti Swift ZDi BSIV,2016,33250,46000,Diesel,Dealer,Manual,First Owner
Hyundai i20 2015-2017 Sportz Option 1.4 CRDi,2014,23250,70000,Diesel,Dealer,Manual,First Owner
Maruti Alto LXi,2012,8000,60000,Petrol,Individual,Manual,Second Owner
Mahindra Jeep CL 500 MDI,1996,12500,35000,Diesel,Individual,Manual,Second Owner
Honda City i DTEC VX,2014,33750,90000,Diesel,Dealer,Manual,First Owner
Maruti Wagon R VXI BS IV,2013,15000,80000,Petrol,Dealer,Manual,First Owner
Tata Indica DLS,2005,3500,80000,Diesel,Individual,Manual,First Owner
Hyundai EON Magna Plus,2014,12000,73300,Petrol,Dealer,Manual,Second Owner
Toyota Etios GD,2014,26250,92000,Diesel,Dealer,Manual,First Owner
Maruti Alto LXi,2009,7550,66764,Petrol,Dealer,Manual,Second Owner
Maruti Alto LXi,2009,7000,100000,Petrol,Individual,Manual,First Owner
Chevrolet Tavera Neo LS B3 - 7(C) seats BSIII,2010,14000,350000,Diesel,Individual,Manual,Second Owner
Toyota Corolla Altis Diesel D4DG,2011,17500,230000,Diesel,Individual,Manual,First Owner
Mahindra Scorpio 1.99 S6 Plus,2017,28500,60000,Diesel,Individual,Manual,First Owner
Hyundai EON Magna Plus,2018,15000,31000,Petrol,Individual,Manual,First Owner
Tata Indigo Classic Dicor,2007,5000,39000,Diesel,Individual,Manual,First Owner
Toyota Innova 2.5 V Diesel 8-seater,2009,25000,120000,Diesel,Individual,Manual,Third Owner
Tata Indica Vista Quadrajet LS,2014,6250,166000,Diesel,Individual,Manual,Fourth & Above Owner
Maruti Swift 1.3 VXi,2006,6500,110000,Petrol,Individual,Manual,Third Owner
Ford EcoSport 1.5 Diesel Titanium BSIV,2017,46250,35000,Diesel,Individual,Manual,First Owner
Maruti Ciaz 1.3 Delta,2018,37500,60000,Diesel,Individual,Manual,First Owner
Honda Civic 1.8 V AT,2007,10000,54000,Petrol,Individual,Automatic,Second Owner
Hyundai i10 Sportz 1.2,2010,12400,63000,Petrol,Individual,Manual,Second Owner
Skoda Rapid 1.5 TDI Elegance,2014,22500,120000,Diesel,Individual,Manual,Second Owner
Hyundai Getz GLS,2005,4000,120000,Petrol,Individual,Manual,Third Owner
Nissan Terrano XL,2014,32500,76000,Petrol,Individual,Manual,Second Owner
Hyundai Grand i10 CRDi Sportz,2015,22500,80000,Diesel,Individual,Manual,First Owner
Hyundai Elite i20 Diesel Era,2019,32500,25000,Diesel,Individual,Manual,First Owner
Honda Amaze S i-VTEC,2016,24750,11958,Petrol,Dealer,Manual,First Owner
Honda Brio S MT,2015,18550,20000,Petrol,Dealer,Manual,First Owner
Hyundai Creta 1.6 SX Option,2017,51250,9000,Petrol,Dealer,Manual,First Owner
Mercedes-Benz S-Class S 350d Connoisseurs Edition,2017,407500,6500,Diesel,Dealer,Automatic,First Owner
Mahindra XUV500 W8 2WD,2015,37500,70000,Diesel,Individual,Manual,First Owner
Renault Duster 85PS Diesel RxL Optional,2013,30000,120000,Diesel,Individual,Manual,First Owner
Hyundai Santro Xing XO,2007,4000,58000,Petrol,Dealer,Manual,Second Owner
Mahindra Bolero 2011-2019 SLE,2013,16250,62200,Diesel,Dealer,Manual,First Owner
Audi A6 2.0 TDI Premium Plus,2014,73500,34000,Diesel,Dealer,Automatic,Second Owner
Fiat Avventura MULTIJET Emotion,2015,17500,53000,Diesel,Individual,Manual,Second Owner
Audi A8 4.2 TDI,2013,140000,49000,Diesel,Dealer,Automatic,First Owner
Datsun RediGO 1.0 S,2017,10500,15000,Petrol,Dealer,Manual,Second Owner
Volkswagen Jetta 1.4 TSI Comfortline,2013,22500,50000,Petrol,Individual,Manual,First Owner
Audi A4 2.0 TDI 177 Bhp Premium Plus,2013,57500,53000,Diesel,Dealer,Automatic,First Owner
Honda Civic 1.8 V AT,2009,10500,63500,Petrol,Dealer,Automatic,First Owner
Mercedes-Benz E-Class Exclusive E 200 BSIV,2018,225000,9800,Petrol,Dealer,Automatic,First Owner
BMW X1 sDrive 20d xLine,2017,137500,13000,Diesel,Individual,Automatic,First Owner
Volvo V40 D3 R Design,2018,98750,21000,Diesel,Dealer,Automatic,First Owner
Maruti SX4 Zxi BSIII,2008,8750,29173,Petrol,Dealer,Manual,First Owner
BMW 7 Series 730Ld,2012,125000,48000,Diesel,Dealer,Automatic,First Owner
Mahindra Bolero Power Plus SLX,2017,31400,120000,Diesel,Individual,Manual,First Owner
Hyundai Sonata CRDi M/T,2010,30000,100000,Diesel,Individual,Manual,First Owner
Nissan Micra Active XV Petrol,2017,19950,30000,Petrol,Individual,Manual,First Owner
Mahindra Xylo D4,2018,37500,87000,Diesel,Individual,Manual,First Owner
Hyundai Elite i20 Sportz Plus Dual Tone BSIV,2019,37500,15000,Petrol,Individual,Manual,First Owner
Renault KWID RXT,2017,15750,16000,Petrol,Individual,Manual,First Owner
Mahindra Xylo E4 BS III,2012,30000,60000,Diesel,Individual,Manual,First Owner
Maruti Wagon R LXI Minor,2010,5000,60000,Petrol,Individual,Manual,Fourth & Above Owner
Maruti SX4 ZXI MT BSIV,2011,12500,110000,Petrol,Individual,Manual,Third Owner
Renault KWID RXT,2017,17500,25000,Petrol,Individual,Manual,First Owner
Hyundai Creta 1.4 CRDi S,2016,39000,60000,Diesel,Individual,Manual,First Owner
Maruti Swift Dzire VDI,2014,21700,79350,Diesel,Individual,Manual,Second Owner
Hyundai Verna 1.6 VTVT AT S Option,2016,34500,80000,Petrol,Individual,Automatic,First Owner
Mahindra Scorpio LX BSIV,2014,27750,90000,Diesel,Individual,Manual,Second Owner
Maruti SX4 Vxi BSIII,2007,6000,90000,Petrol,Individual,Manual,Second Owner
Maruti Ertiga VDI,2014,25000,120000,Diesel,Individual,Manual,Second Owner
Chevrolet Beat Diesel,2013,8250,60000,Diesel,Individual,Manual,Second Owner
Maruti Zen LX,2004,4750,50000,Petrol,Individual,Manual,First Owner
Maruti Baleno Delta 1.2,2018,27500,20000,Petrol,Individual,Manual,First Owner
Maruti Swift Vdi BSIII,2007,5000,110000,Diesel,Individual,Manual,Fourth & Above Owner
Tata Nano Lx BSIV,2012,5000,50000,Petrol,Individual,Manual,Second Owner
Toyota Innova 2.5 GX (Diesel) 8 Seater,2012,25000,100000,Diesel,Individual,Manual,First Owner
Maruti Ertiga SHVS VDI,2016,40000,70000,Diesel,Individual,Manual,Second Owner
Hyundai Creta 1.6 CRDi SX,2016,42000,70000,Diesel,Individual,Manual,Second Owner
Honda Amaze S i-Vtech,2016,24500,50000,Petrol,Individual,Manual,First Owner
Tata Indica Vista Aqua 1.4 TDI,2010,6250,81000,Diesel,Individual,Manual,Second Owner
Chevrolet Tavera Neo 2 LS B4 7 Str BSIII,2012,20000,120000,Diesel,Individual,Manual,Third Owner
Chevrolet Cruze LTZ,2015,50000,3600,Diesel,Dealer,Manual,First Owner
Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,2015,26500,14272,Petrol,Dealer,Manual,First Owner
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2017,42000,49213,Diesel,Dealer,Manual,First Owner
Hyundai i10 Sportz 1.1L,2015,11499.95,40000,Petrol,Individual,Manual,First Owner
Maruti 800 Std,1998,2000,40000,Petrol,Individual,Manual,Fourth & Above Owner
Chevrolet Spark 1.0 LS,2012,6500,80000,Petrol,Individual,Manual,First Owner
Hyundai EON Era Plus,2015,10000,70000,Petrol,Individual,Manual,First Owner
Tata Indica Vista Aqua TDI BSIII,2011,6000,70000,Diesel,Individual,Manual,First Owner
Hyundai Santro LP zipPlus,2003,3750,57000,Petrol,Individual,Manual,First Owner
Tata Bolt Quadrajet XE,2016,12500,120000,Diesel,Individual,Manual,First Owner
Maruti 800 AC BSIII,2005,5000,30000,Petrol,Individual,Manual,First Owner
Hyundai EON Era Plus,2013,14000,3240,Petrol,Individual,Manual,Second Owner
Hyundai i20 Magna 1.2,2015,27000,5000,Petrol,Individual,Manual,First Owner
Hyundai i20 1.2 Asta,2018,35000,10000,Petrol,Individual,Manual,First Owner
Maruti Ciaz VDi Plus,2015,26250,100000,Diesel,Individual,Manual,First Owner
Hyundai i20 Asta 1.4 CRDi,2016,21500,80000,Diesel,Individual,Manual,First Owner
Hyundai Santro LE,2002,3250,70000,Petrol,Individual,Manual,First Owner
Maruti Vitara Brezza VDi,2018,40000,35000,Diesel,Individual,Manual,First Owner
Hyundai Santro Xing XL eRLX Euro III,2007,3750,114000,Petrol,Individual,Manual,Second Owner
Hyundai Getz 1.3 GLS,2008,10500,53772,Petrol,Individual,Manual,First Owner
Mahindra Quanto C8,2012,9750,140000,Diesel,Individual,Manual,Second Owner
Chevrolet Tavera Neo 3 LS 7 C BSIII,2015,20000,120000,Diesel,Individual,Manual,First Owner
Hyundai EON Magna Plus,2012,8500,60000,Petrol,Individual,Manual,First Owner
Renault KWID RXT,2016,11250,25000,Petrol,Individual,Manual,First Owner
Maruti Wagon R DUO LPG,2014,10500,90000,LPG,Individual,Manual,First Owner
Maruti Wagon R LXI,2020,12000,120000,Petrol,Individual,Manual,First Owner
Chevrolet Enjoy 1.3 TCDi LS 8,2015,15000,175000,Diesel,Individual,Manual,First Owner
Chevrolet Spark 1.0 LS,2011,4950,100000,Petrol,Individual,Manual,Third Owner
Honda City i VTEC SV,2014,31000,36000,Petrol,Individual,Manual,First Owner
Honda Amaze VX i-DTEC,2013,25000,30000,Diesel,Individual,Manual,First Owner
Jaguar XJ 5.0 L V8 Supercharged,2010,127500,40000,Petrol,Individual,Automatic,Second Owner
Honda Brio E MT,2013,13000,70000,Petrol,Individual,Manual,Second Owner
Maruti Swift VVT ZXI,2017,27500,60000,Petrol,Individual,Manual,First Owner
Tata Indigo CR4,2011,7500,155500,Diesel,Individual,Manual,First Owner
Hyundai i10 Asta AT,2011,17500,50000,Petrol,Individual,Automatic,Second Owner
Chevrolet Beat LT,2016,16000,40000,Petrol,Individual,Manual,First Owner
Maruti Swift VDI BSIV,2015,20000,100000,Diesel,Individual,Manual,Third Owner
Maruti Alto LXi,2012,8750,80000,Petrol,Individual,Manual,Third Owner
Chevrolet Beat LT,2011,6000,90000,Petrol,Individual,Manual,Second Owner
Renault Duster 110PS Diesel RxZ,2013,16000,90000,Diesel,Individual,Manual,Second Owner
Hyundai Santro Xing XG,2006,3500,110000,Petrol,Individual,Manual,Third Owner
Maruti Swift Dzire ZXI Plus,2019,40500,15000,Petrol,Individual,Manual,First Owner
Maruti 800 AC,2007,4750,100000,Petrol,Individual,Manual,Second Owner
Maruti Alto K10 LXI CNG,2020,14100,40000,CNG,Individual,Manual,First Owner
Maruti 800 Std BSII,2004,4000,60000,Petrol,Individual,Manual,Second Owner
Tata Nano LX SE,2013,3600,25000,Petrol,Individual,Manual,First Owner
Hyundai i20 Magna 1.2,2016,30000,25000,Petrol,Individual,Manual,First Owner
Skoda Rapid 1.6 MPI Ambition With Alloy Wheel,2015,32000,23000,Petrol,Individual,Manual,First Owner
Maruti Alto K10 VXI,2018,19000,22155,Petrol,Individual,Manual,First Owner
Maruti Ciaz 1.4 Delta,2018,32500,70000,Petrol,Individual,Manual,First Owner
Maruti Alto LX,2009,7500,60000,Petrol,Individual,Manual,Second Owner
Hyundai i20 Asta,2009,14000,110000,Petrol,Individual,Manual,Second Owner
Tata Nexon 1.2 Revotron XM,2018,21500,30000,Petrol,Individual,Manual,First Owner
Mahindra Bolero Power Plus SLX,2019,40000,15000,Diesel,Individual,Manual,First Owner
Maruti Zen D,2003,3750,100000,Diesel,Individual,Manual,Second Owner
Volkswagen Vento Celeste 1.5 TDI Highline AT,2016,32500,70000,Diesel,Individual,Automatic,First Owner
Maruti Eeco 7 Seater Standard BSIV,2017,19500,24000,Petrol,Individual,Manual,First Owner
Honda City 1.5 EXI,2005,5000,120000,Petrol,Individual,Manual,Second Owner
Mercedes-Benz New C-Class 220 CDI AT,2013,75000,35000,Diesel,Individual,Automatic,First Owner
Maruti SX4 Zxi with Leather BSIII,2007,8750,78380,Petrol,Individual,Manual,First Owner
Renault Duster 110PS Diesel RxZ,2012,21749.95,110000,Diesel,Individual,Manual,Second Owner
Ford Figo Diesel Titanium,2010,8500,90000,Diesel,Individual,Manual,Third Owner
Ford Figo Diesel Titanium,2011,9500,90000,Diesel,Individual,Manual,Third Owner
Maruti Swift Dzire VDi,2009,12500,150000,Diesel,Individual,Manual,Third Owner
Mahindra Xylo E4,2009,11499.95,230000,Diesel,Individual,Manual,Third Owner
Maruti Esteem Vxi - BSIII,2006,7000,70000,Petrol,Individual,Manual,Third Owner
Maruti Swift VDI BSIV,2017,30000,80362,Diesel,Individual,Manual,First Owner
Hyundai i20 1.2 Sportz,2012,14000,110000,Petrol,Individual,Manual,Third Owner
Chevrolet Beat Diesel LT,2012,7500,60000,Diesel,Individual,Manual,First Owner
Chevrolet Cruze LTZ AT,2015,32500,50000,Diesel,Individual,Automatic,First Owner
Nissan Micra XL,2014,10500,40000,Petrol,Individual,Manual,Second Owner
BMW 5 Series 520d Luxury Line,2017,145000,40000,Diesel,Individual,Automatic,First Owner
Chevrolet Enjoy 1.3 TCDi LS 8,2013,21250,20000,Diesel,Dealer,Manual,First Owner
Hyundai EON Era Plus Option,2014,13250,55000,Petrol,Dealer,Manual,First Owner
Fiat Linea T Jet Emotion,2018,44500,1136,Petrol,Dealer,Manual,First Owner
Renault Scala RxL,2013,18250,55000,Petrol,Dealer,Manual,First Owner
Ford Figo Petrol Titanium,2014,17500,43000,Petrol,Dealer,Manual,First Owner
Maruti Ciaz ZDi SHVS,2016,34250,60000,Diesel,Individual,Manual,First Owner
Skoda Rapid 1.5 TDI Ambition BSIV,2018,47000,2650,Diesel,Dealer,Manual,First Owner
Mahindra XUV500 W6 2WD,2017,50000,40000,Diesel,Individual,Manual,First Owner
Mahindra XUV300 W8 Option,2019,57500,15000,Petrol,Dealer,Manual,First Owner
Maruti Ertiga SHVS ZDI,2016,22500,115962,Diesel,Individual,Manual,Second Owner
Nissan Terrano XE D,2015,29500,65000,Diesel,Dealer,Manual,First Owner
Maruti S-Cross Facelift,2017,40000,40000,Diesel,Individual,Manual,First Owner
Hyundai i20 Magna 1.4 CRDi (Diesel),2012,19250,58000,Diesel,Dealer,Manual,First Owner
Mercedes-Benz New C-Class C 220 CDI BE Avantgare,2013,100000,15000,Diesel,Individual,Automatic,First Owner
Hyundai EON Era Plus,2012,11750,54000,Petrol,Dealer,Manual,First Owner
Volkswagen Ameo 1.5 TDI Highline,2017,32000,56000,Diesel,Dealer,Manual,First Owner
Maruti Alto LX,2006,2600,120000,Petrol,Individual,Manual,Third Owner
Maruti Omni LPG CARGO BSIII W IMMOBILISER,2009,4000,90000,LPG,Individual,Manual,Second Owner
Maruti Alto LX,2012,7000,70000,Petrol,Individual,Manual,Second Owner
Hyundai Verna i (Petrol),2008,6000,90000,Petrol,Individual,Manual,Second Owner
Mahindra Renault Logan 1.5 DLS,2008,4499.95,213000,Diesel,Individual,Manual,First Owner
Chevrolet Optra Magnum 2.0 LS BSIII,2012,9000,120000,Diesel,Individual,Manual,First Owner
Mahindra Scorpio S11 BSIV,2017,75000,20000,Diesel,Individual,Manual,First Owner
Hyundai i20 Active 1.2 SX,2017,35000,10000,Petrol,Individual,Manual,First Owner
Maruti SX4 Celebration Diesel,2012,14250,80000,Diesel,Individual,Manual,Second Owner
Hyundai Grand i10 Magna,2015,19500,90000,Petrol,Individual,Manual,First Owner
Maruti Alto LXi BSIII,2008,6250,80000,Petrol,Individual,Manual,First Owner
Maruti SX4 Zxi with Leather BSIII,2008,11250,60000,Petrol,Individual,Manual,Second Owner
Hyundai i10 Era,2011,8750,139000,Petrol,Individual,Manual,Second Owner
Toyota Innova 2.5 V Diesel 7-seater,2011,53750,160000,Diesel,Individual,Manual,Second Owner
Honda Mobilio V i DTEC,2014,15000,150000,Diesel,Individual,Manual,First Owner
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2010,35000,163000,Diesel,Individual,Manual,Fourth & Above Owner
Tata Indica V2 2001-2011 DLS BSIII,2009,4500,120000,Diesel,Dealer,Manual,First Owner
Tata Indica Vista TDI LS,2011,6000,120000,Diesel,Individual,Manual,Second Owner
Chevrolet Beat Diesel LS,2012,11000,100000,Diesel,Individual,Manual,Second Owner
Tata Zest Quadrajet 1.3 75PS XE,2015,15000,140000,Diesel,Dealer,Manual,First Owner
Skoda Fabia 1.2L Diesel Ambiente,2010,9000,87000,Diesel,Dealer,Manual,Second Owner
Maruti 800 Std,2013,8500,70000,Petrol,Individual,Manual,First Owner
Ford Figo Petrol Titanium,2015,15000,50000,Petrol,Individual,Manual,Second Owner
Toyota Innova 2.5 VX (Diesel) 8 Seater,2014,52500,70000,Diesel,Individual,Manual,First Owner
Honda Mobilio V i DTEC,2014,15000,150000,Diesel,Individual,Manual,First Owner
Hyundai Grand i10 1.2 CRDi Asta,2018,23250,25000,Diesel,Individual,Manual,First Owner
Chevrolet Beat Diesel LT,2011,6500,80000,Diesel,Individual,Manual,Second Owner
Datsun GO Plus T Option Petrol,2018,21749.95,10000,Petrol,Individual,Manual,First Owner
Hyundai Grand i10 1.2 Kappa Asta,2018,25000,32000,Petrol,Individual,Manual,First Owner
Maruti Omni MPI STD BSIV,2018,10000,10000,Petrol,Individual,Manual,First Owner
Maruti Baleno Alpha 1.2,2017,31250,52000,Petrol,Dealer,Manual,First Owner
Ford Fiesta Classic 1.4 SXI Duratorq,2006,5500,120000,Diesel,Individual,Manual,Third Owner
Hyundai Elite i20 Asta Option BSIV,2019,40000,11240,Petrol,Individual,Manual,First Owner
Hyundai Grand i10 CRDi Magna,2017,24500,66000,Diesel,Dealer,Manual,First Owner
Maruti Ertiga SHVS ZDI,2017,44000,64000,Diesel,Dealer,Manual,First Owner
Hyundai Santro Xing GL Plus,2013,14500,49000,Petrol,Individual,Manual,First Owner
Tata Sumo GX TC 7 Str BSIII,2006,5799.95,100000,Diesel,Individual,Manual,Second Owner
Renault KWID RXT,2018,18000,26500,Petrol,Individual,Manual,First Owner
Maruti 800 AC,2002,3250,100000,Petrol,Individual,Manual,Second Owner
Maruti Vitara Brezza LDi Option,2017,34250,72000,Diesel,Dealer,Manual,First Owner
Honda Jazz S,2009,15000,50000,Petrol,Individual,Manual,First Owner
Hyundai i20 1.4 Sportz,2017,34000,44000,Diesel,Dealer,Manual,First Owner
Maruti Ertiga SHVS ZDI Plus,2017,50000,60000,Diesel,Individual,Manual,Second Owner
Tata Sumo SE Plus BSIII,2002,5000,120000,Diesel,Individual,Manual,First Owner
Mahindra Xylo E4,2010,8000,130000,Diesel,Individual,Manual,First Owner
Maruti Swift ZDi BSIV,2017,22500,70000,Diesel,Individual,Manual,First Owner
Maruti Ertiga VXI,2014,30000,20000,Petrol,Individual,Manual,First Owner
Hyundai i20 1.4 Magna ABS,2009,9000,60000,Diesel,Individual,Manual,Second Owner
Maruti Alto LXi,2007,5000,195000,Petrol,Individual,Manual,First Owner
Maruti Alto LXi,2010,6000,90000,Petrol,Individual,Manual,Second Owner
Hyundai Getz GL,2006,6500,80000,Petrol,Individual,Manual,Third Owner
Maruti Wagon R LX BS IV,2011,8000,155000,Petrol,Individual,Manual,First Owner
Mahindra Bolero Power Plus SLX,2019,43000,35000,Diesel,Individual,Manual,First Owner
Hyundai i20 1.2 Spotz,2018,32500,20000,Petrol,Individual,Manual,Second Owner
Maruti Wagon R LXI Minor,2010,5000,80000,Petrol,Individual,Manual,Second Owner
Maruti Alto 800 VXI,2017,14100,20000,Petrol,Individual,Manual,First Owner
Hyundai i20 Asta (o),2009,15000,50000,Petrol,Individual,Manual,First Owner
Hyundai i20 Asta,2010,13500,110000,Petrol,Individual,Manual,Second Owner
Hyundai Verna 1.6 SX CRDi (O),2013,27500,29000,Diesel,Individual,Manual,First Owner
Mahindra Xylo D2 BSIV,2013,22500,120000,Diesel,Individual,Manual,First Owner
Mahindra Bolero SLX 2WD BSIII,2011,21500,70000,Diesel,Individual,Manual,Second Owner
Maruti Ertiga VXI ABS,2013,17500,40000,Petrol,Individual,Manual,First Owner
Honda Brio 1.2 E MT,2017,17500,20000,Petrol,Individual,Manual,First Owner
Toyota Etios Liva G,2013,11499.95,50000,Petrol,Individual,Manual,Second Owner
Maruti Alto 800 LXI,2013,5500,50000,Petrol,Individual,Manual,First Owner
Maruti Swift Dzire 1.2 Vxi BSIV,2012,19750,49000,Petrol,Individual,Manual,Second Owner
Mahindra Scorpio VLS AT 2.2 mHAWK,2011,32500,70000,Diesel,Individual,Automatic,Second Owner
Mahindra Bolero SLX,2011,17500,90000,Diesel,Individual,Manual,Second Owner
Mahindra XUV500 W11 Option AWD,2020,70000,25000,Diesel,Dealer,Manual,First Owner
Tata Tiago 1.2 Revotron XZ,2018,18000,4000,Petrol,Individual,Manual,First Owner
Mahindra Marazzo M8 8Str,2018,65000,10000,Diesel,Individual,Manual,First Owner
Renault Duster 110PS Diesel RxL,2015,40000,15000,Diesel,Individual,Manual,First Owner
Hyundai EON Magna Plus,2018,11499.95,30000,Petrol,Individual,Manual,First Owner
Maruti Wagon R VXI,2014,15750,41000,Petrol,Dealer,Manual,First Owner
Chevrolet Spark 1.0 LT,2012,6250,28000,Petrol,Individual,Manual,First Owner
Maruti Baleno Alpha,2019,35000,16000,Petrol,Individual,Manual,First Owner
Hyundai EON 1.0 Kappa Magna Plus,2015,8000,70000,Petrol,Individual,Manual,First Owner
Ford Figo Aspire 1.2 Ti-VCT Trend,2017,26500,10832,Petrol,Dealer,Manual,First Owner
Ford Figo Aspire Facelift,2018,31200,14681,Diesel,Dealer,Manual,First Owner
Hyundai i10 Era,2009,12500,50000,Petrol,Individual,Manual,First Owner
Mahindra Bolero SLX,2016,29250,51000,Diesel,Dealer,Manual,First Owner
Hyundai Verna 1.4 VTVT,2015,25000,25000,Petrol,Individual,Manual,First Owner
Chevrolet Sail 1.2 LT ABS,2014,17500,30000,Petrol,Individual,Manual,First Owner
Honda City i-DTEC SV,2014,24750,80000,Diesel,Dealer,Manual,First Owner
Hyundai Grand i10 1.2 Kappa Asta,2017,25000,50000,Petrol,Individual,Manual,First Owner
Mahindra Bolero Power Plus Plus AC BSIV PS,2015,21500,200000,Diesel,Individual,Manual,First Owner
Hyundai Grand i10 1.2 Kappa Sportz Option,2013,17250,44000,Petrol,Dealer,Manual,First Owner
